iteration,chain,prob_detect,prob_transmission,R0_other,detect_dispersion,init_infs,chg_pnt,sex_trans_red,sex_trans_red_post_WHO
1,1,0.9622809112321601,0.13180934313471745,0.019822075074339328,1706.2767197379724,0.09960097958439874,189.66958303998632,0.25443559644899916,0.07137143842515813
2,1,0.8373093800449289,0.14804344383395948,0.018748062835865373,316.78199366242376,0.16087850288545508,156.03859662469998,0.2007886397937646,0.2061860016408284
3,1,0.6746753941188494,0.17949633282193428,0.038256046201494934,1376.3461807056578,0.11561582666306797,140.10330473923912,0.28688327499889155,0.17877393027072602
4,1,0.7033868511248098,0.19568832962567945,0.035153519963466245,1331.6832743475206,0.12104792567730689,148.4774601300514,0.3357588241812094,0.13785534407527253
5,1,0.6507183219224094,0.14278824405299967,0.062228140587155735,1433.8692718682014,0.14199635515483824,168.17521386093946,0.07702390877846163,0.15188157068176317
6,1,0.9226190988297609,0.14519214209587192,0.0355646496462987,1619.6714704493734,0.1751944104835197,174.4715157008858,0.14593004538074658,0.28657391931571746
7,1,0.5982354403683364,0.1588344878044852,0.023103183840112493,415.1070635163568,0.1712602561440938,157.67490084091762,0.22026225104570674,0.07159571066902022
8,1,0.7138483309869569,0.23648799796936834,0.04581635488564377,3205.193881717644,0.4007546666503238,148.80062386856247,0.47382550285848185,0.03674361556203974
9,1,0.897562228639326,0.15475230382912517,0.019968606282105186,7.3410858034853845,0.19456360984760096,149.0418979787647,0.19997583127098134,0.3413604361111687
10,1,0.8126523170076103,0.16599419084314734,0.03908281108550607,1051.404630832027,0.14374265573417827,148.42394015695547,0.21251957354617929,0.25657543529366716
11,1,0.7532155775598748,0.13236626900884782,0.06405144642747691,952.924206583829,0.14591125121399764,164.18095607692112,0.06803604342949436,0.1848623528405158
12,1,0.5606719636904868,0.12847097422745582,0.028375485235864115,1373.111199943034,0.11357306604228365,190.53996689965206,0.002212682350766307,0.04309617057773579
13,1,0.6755707579258559,0.14949035557230594,0.025548597904141615,1426.008013052463,0.14070993493799702,155.7872039708091,0.14931184801518227,0.18015000375369844
14,1,0.7514917107081864,0.13069489871578857,0.036386471631794245,266.18440505617787,0.09693746659859412,197.44080126047177,0.15761742138021512,0.1357103324637879
15,1,0.830744790116201,0.23976821000016474,0.03293095152167854,1228.2789227764529,0.35577032437788997,149.46815353380032,0.4993379916802797,0.3281213957502497
16,1,0.7299819495768427,0.22041033448121372,0.019126685247497978,2440.328067337624,0.2437296313182519,152.11842863090305,0.4141790101793822,0.015113114891025278
17,1,0.8708769028598586,0.15123885895846212,0.051078121254424,1642.1406516153743,0.11693133683383122,162.9832726654503,0.22774196520011503,0.13116292030488497
18,1,0.9378683028118772,0.23184926420921445,0.035448907053839365,1910.5249550927433,0.198220925130107,139.65634002768644,0.46784560926141316,0.20040189100732225
19,1,0.9469109495060057,0.179526827767288,0.021718317800060987,1142.14969581783,0.1649153648349889,143.68634970556536,0.34373991875007537,0.42362351052601194
20,1,0.45162711999370836,0.22050459847333798,0.009337627107684834,1906.4517321920257,0.48153808399746506,146.93516484515692,0.2942220701376358,0.026680313399478135
21,1,0.7855110085911967,0.13108527908207215,0.0506553356885404,1330.7489107683655,0.11414919774732395,169.62480533154246,0.03377923861838025,0.2628031950400191
22,1,0.5629702816507177,0.31659050143381134,0.024257824197263307,672.8132534294152,0.2756011465876165,135.59161285837146,0.5783590371432795,0.017515576872782324
23,1,0.7305951783936003,0.13264094483373487,0.013333887928846037,394.9331387144007,0.1152711259123065,163.05993908431088,0.029070148840715907,0.24162393976724447
24,1,0.7456256076214972,0.13048665929885622,0.014769930478111436,2774.0386779568826,0.11948342952321299,163.2058915497445,0.01357660579171336,0.6055641975895643
25,1,0.7095230738651133,0.13528983949310314,0.037096108348624646,632.8086258105293,0.1379383741212793,195.8162248059934,0.08761897555728168,0.3211601535666917
